Sentence #,text,word,tag
Sentence 6,"Wildfires contributed to higher levels of PM2.5 pollution in the West, while the rise in ozone was attributed to warmer temperatures. IMPLIED_BASE IMPLIED_BASE",levels,O
Sentence 6,"Wildfires contributed to higher levels of PM2.5 pollution in the West, while the rise in ozone was attributed to warmer temperatures. IMPLIED_BASE IMPLIED_BASE",PM2.5,O
Sentence 6,"Wildfires contributed to higher levels of PM2.5 pollution in the West, while the rise in ozone was attributed to warmer temperatures. IMPLIED_BASE IMPLIED_BASE",pollution,base
Sentence 6,"Wildfires contributed to higher levels of PM2.5 pollution in the West, while the rise in ozone was attributed to warmer temperatures. IMPLIED_BASE IMPLIED_BASE",in the West,O
Sentence 6,"Wildfires contributed to higher levels of PM2.5 pollution in the West, while the rise in ozone was attributed to warmer temperatures. IMPLIED_BASE IMPLIED_BASE",rise,O
Sentence 6,"Wildfires contributed to higher levels of PM2.5 pollution in the West, while the rise in ozone was attributed to warmer temperatures. IMPLIED_BASE IMPLIED_BASE",ozone,base
Sentence 6,"Wildfires contributed to higher levels of PM2.5 pollution in the West, while the rise in ozone was attributed to warmer temperatures. IMPLIED_BASE IMPLIED_BASE",was,O
Sentence 6,"Wildfires contributed to higher levels of PM2.5 pollution in the West, while the rise in ozone was attributed to warmer temperatures. IMPLIED_BASE IMPLIED_BASE",attributed to,O
Sentence 6,"Wildfires contributed to higher levels of PM2.5 pollution in the West, while the rise in ozone was attributed to warmer temperatures. IMPLIED_BASE IMPLIED_BASE",warmer,O
Sentence 6,"Wildfires contributed to higher levels of PM2.5 pollution in the West, while the rise in ozone was attributed to warmer temperatures. IMPLIED_BASE IMPLIED_BASE",temperatures,O
Sentence 6,"Wildfires contributed to higher levels of PM2.5 pollution in the West, while the rise in ozone was attributed to warmer temperatures. IMPLIED_BASE IMPLIED_BASE",IMPLIED_BASE,base
Sentence 7,"It found climate pressures can adversely impact resource availability and affect population dynamics, which can impact socioeconomic and political stability. IMPLIED_BASE IMPLIED_BASE",climate pressures,base
Sentence 7,"It found climate pressures can adversely impact resource availability and affect population dynamics, which can impact socioeconomic and political stability. IMPLIED_BASE IMPLIED_BASE",can,O
Sentence 7,"It found climate pressures can adversely impact resource availability and affect population dynamics, which can impact socioeconomic and political stability. IMPLIED_BASE IMPLIED_BASE",adversely,O
Sentence 7,"It found climate pressures can adversely impact resource availability and affect population dynamics, which can impact socioeconomic and political stability. IMPLIED_BASE IMPLIED_BASE",impact,O
Sentence 7,"It found climate pressures can adversely impact resource availability and affect population dynamics, which can impact socioeconomic and political stability. IMPLIED_BASE IMPLIED_BASE",resource,base
Sentence 7,"It found climate pressures can adversely impact resource availability and affect population dynamics, which can impact socioeconomic and political stability. IMPLIED_BASE IMPLIED_BASE",availability,O
Sentence 7,"It found climate pressures can adversely impact resource availability and affect population dynamics, which can impact socioeconomic and political stability. IMPLIED_BASE IMPLIED_BASE",affect,O
Sentence 7,"It found climate pressures can adversely impact resource availability and affect population dynamics, which can impact socioeconomic and political stability. IMPLIED_BASE IMPLIED_BASE",population dynamics,O
Sentence 7,"It found climate pressures can adversely impact resource availability and affect population dynamics, which can impact socioeconomic and political stability. IMPLIED_BASE IMPLIED_BASE",can,O
Sentence 7,"It found climate pressures can adversely impact resource availability and affect population dynamics, which can impact socioeconomic and political stability. IMPLIED_BASE IMPLIED_BASE",impact,O
Sentence 7,"It found climate pressures can adversely impact resource availability and affect population dynamics, which can impact socioeconomic and political stability. IMPLIED_BASE IMPLIED_BASE",socioeconomic,base
Sentence 7,"It found climate pressures can adversely impact resource availability and affect population dynamics, which can impact socioeconomic and political stability. IMPLIED_BASE IMPLIED_BASE",political,base
Sentence 7,"It found climate pressures can adversely impact resource availability and affect population dynamics, which can impact socioeconomic and political stability. IMPLIED_BASE IMPLIED_BASE",stability,O
Sentence 7,,stability,O
Sentence 7,"It found climate pressures can adversely impact resource availability and affect population dynamics, which can impact socioeconomic and political stability. IMPLIED_BASE IMPLIED_BASE",IMPLIED_BASE,base
Sentence 8,"For almost two weeks last year during the Camp fire, which killed 85 people and destroyed 14,000 homes in Paradise, Calif., IMPLIED_BASE IMPLIED_BASE",almost two weeks last year,O
Sentence 8,"For almost two weeks last year during the Camp fire, which killed 85 people and destroyed 14,000 homes in Paradise, Calif., IMPLIED_BASE IMPLIED_BASE",fire,base
Sentence 8,"For almost two weeks last year during the Camp fire, which killed 85 people and destroyed 14,000 homes in Paradise, Calif., IMPLIED_BASE IMPLIED_BASE",killed,O
Sentence 8,"For almost two weeks last year during the Camp fire, which killed 85 people and destroyed 14,000 homes in Paradise, Calif., IMPLIED_BASE IMPLIED_BASE",people,base
Sentence 8,,people,O
Sentence 8,"For almost two weeks last year during the Camp fire, which killed 85 people and destroyed 14,000 homes in Paradise, Calif., IMPLIED_BASE IMPLIED_BASE",85,O
Sentence 8,"For almost two weeks last year during the Camp fire, which killed 85 people and destroyed 14,000 homes in Paradise, Calif., IMPLIED_BASE IMPLIED_BASE",destroyed,O
Sentence 8,"For almost two weeks last year during the Camp fire, which killed 85 people and destroyed 14,000 homes in Paradise, Calif., IMPLIED_BASE IMPLIED_BASE","14,000",O
Sentence 8,"For almost two weeks last year during the Camp fire, which killed 85 people and destroyed 14,000 homes in Paradise, Calif., IMPLIED_BASE IMPLIED_BASE",homes,base
Sentence 8,"For almost two weeks last year during the Camp fire, which killed 85 people and destroyed 14,000 homes in Paradise, Calif., IMPLIED_BASE IMPLIED_BASE","in Paradise, Calif.",O
Sentence 9,"An analysis of the world's 82 largest economies found that based on current warming trends, impacts that would hamper growth and damage infrastructure that could cost 3% of global GDP by 2050, or $8 trillion. IMPLIED_BASE IMPLIED_BASE",the world's 82 largest economies,O
Sentence 9,"An analysis of the world's 82 largest economies found that based on current warming trends, impacts that would hamper growth and damage infrastructure that could cost 3% of global GDP by 2050, or $8 trillion. IMPLIED_BASE IMPLIED_BASE",would,O
Sentence 9,"An analysis of the world's 82 largest economies found that based on current warming trends, impacts that would hamper growth and damage infrastructure that could cost 3% of global GDP by 2050, or $8 trillion. IMPLIED_BASE IMPLIED_BASE",hamper,O
Sentence 9,"An analysis of the world's 82 largest economies found that based on current warming trends, impacts that would hamper growth and damage infrastructure that could cost 3% of global GDP by 2050, or $8 trillion. IMPLIED_BASE IMPLIED_BASE",growth,O
Sentence 9,"An analysis of the world's 82 largest economies found that based on current warming trends, impacts that would hamper growth and damage infrastructure that could cost 3% of global GDP by 2050, or $8 trillion. IMPLIED_BASE IMPLIED_BASE",damage,O
Sentence 9,"An analysis of the world's 82 largest economies found that based on current warming trends, impacts that would hamper growth and damage infrastructure that could cost 3% of global GDP by 2050, or $8 trillion. IMPLIED_BASE IMPLIED_BASE",infrastructure,base
Sentence 9,"An analysis of the world's 82 largest economies found that based on current warming trends, impacts that would hamper growth and damage infrastructure that could cost 3% of global GDP by 2050, or $8 trillion. IMPLIED_BASE IMPLIED_BASE",could,O
Sentence 9,"An analysis of the world's 82 largest economies found that based on current warming trends, impacts that would hamper growth and damage infrastructure that could cost 3% of global GDP by 2050, or $8 trillion. IMPLIED_BASE IMPLIED_BASE",cost,O
Sentence 9,"An analysis of the world's 82 largest economies found that based on current warming trends, impacts that would hamper growth and damage infrastructure that could cost 3% of global GDP by 2050, or $8 trillion. IMPLIED_BASE IMPLIED_BASE",3%,O
Sentence 9,"An analysis of the world's 82 largest economies found that based on current warming trends, impacts that would hamper growth and damage infrastructure that could cost 3% of global GDP by 2050, or $8 trillion. IMPLIED_BASE IMPLIED_BASE",global,O
Sentence 9,"An analysis of the world's 82 largest economies found that based on current warming trends, impacts that would hamper growth and damage infrastructure that could cost 3% of global GDP by 2050, or $8 trillion. IMPLIED_BASE IMPLIED_BASE",GDP,O
Sentence 9,"An analysis of the world's 82 largest economies found that based on current warming trends, impacts that would hamper growth and damage infrastructure that could cost 3% of global GDP by 2050, or $8 trillion. IMPLIED_BASE IMPLIED_BASE",by 2050,O
Sentence 9,"An analysis of the world's 82 largest economies found that based on current warming trends, impacts that would hamper growth and damage infrastructure that could cost 3% of global GDP by 2050, or $8 trillion. IMPLIED_BASE IMPLIED_BASE",$8 trillion,O
Sentence 9,"An analysis of the world's 82 largest economies found that based on current warming trends, impacts that would hamper growth and damage infrastructure that could cost 3% of global GDP by 2050, or $8 trillion. IMPLIED_BASE IMPLIED_BASE",IMPLIED_BASE,base
Sentence 9,"An analysis of the world's 82 largest economies found that based on current warming trends, impacts that would hamper growth and damage infrastructure that could cost 3% of global GDP by 2050, or $8 trillion. IMPLIED_BASE IMPLIED_BASE",IMPLIED_BASE,base
Sentence 10,"Flooding is a complex phenomenon with many causes, including land development and ground conditions.  IMPLIED_BASE IMPLIED_BASE",Flooding,base
Sentence 10,"Flooding is a complex phenomenon with many causes, including land development and ground conditions.  IMPLIED_BASE IMPLIED_BASE","causes, including",O
Sentence 10,"Flooding is a complex phenomenon with many causes, including land development and ground conditions.  IMPLIED_BASE IMPLIED_BASE",land,O
Sentence 10,"Flooding is a complex phenomenon with many causes, including land development and ground conditions.  IMPLIED_BASE IMPLIED_BASE",development,base
Sentence 10,"Flooding is a complex phenomenon with many causes, including land development and ground conditions.  IMPLIED_BASE IMPLIED_BASE",ground,base
Sentence 10,"Flooding is a complex phenomenon with many causes, including land development and ground conditions.  IMPLIED_BASE IMPLIED_BASE",conditions,O
Sentence 11,"As a result of climate change, temperatures are generally warmer and therefore expand the time period for which ticks are active. IMPLIED_BASE IMPLIED_BASE",As a result of,O
Sentence 11,"As a result of climate change, temperatures are generally warmer and therefore expand the time period for which ticks are active. IMPLIED_BASE IMPLIED_BASE",climate change,base
Sentence 11,"As a result of climate change, temperatures are generally warmer and therefore expand the time period for which ticks are active. IMPLIED_BASE IMPLIED_BASE",temperatures,O
Sentence 11,"As a result of climate change, temperatures are generally warmer and therefore expand the time period for which ticks are active. IMPLIED_BASE IMPLIED_BASE",are,O
Sentence 11,"As a result of climate change, temperatures are generally warmer and therefore expand the time period for which ticks are active. IMPLIED_BASE IMPLIED_BASE",generally,O
Sentence 11,"As a result of climate change, temperatures are generally warmer and therefore expand the time period for which ticks are active. IMPLIED_BASE IMPLIED_BASE",warmer,O
Sentence 11,"As a result of climate change, temperatures are generally warmer and therefore expand the time period for which ticks are active. IMPLIED_BASE IMPLIED_BASE",therefore,O
Sentence 11,"As a result of climate change, temperatures are generally warmer and therefore expand the time period for which ticks are active. IMPLIED_BASE IMPLIED_BASE",expand,O
Sentence 11,"As a result of climate change, temperatures are generally warmer and therefore expand the time period for which ticks are active. IMPLIED_BASE IMPLIED_BASE",time period,O
Sentence 11,"As a result of climate change, temperatures are generally warmer and therefore expand the time period for which ticks are active. IMPLIED_BASE IMPLIED_BASE",ticks,base
Sentence 11,"As a result of climate change, temperatures are generally warmer and therefore expand the time period for which ticks are active. IMPLIED_BASE IMPLIED_BASE",active,O
Sentence 11,"As a result of climate change, temperatures are generally warmer and therefore expand the time period for which ticks are active. IMPLIED_BASE IMPLIED_BASE",IMPLIED_BASE,base
Sentence 12,"One of the most common environmental allergens is ragweed, which can cause hay fever and trigger asthma attacks, especially in children and the elderly. IMPLIED_BASE IMPLIED_BASE",environmental,O
Sentence 12,"One of the most common environmental allergens is ragweed, which can cause hay fever and trigger asthma attacks, especially in children and the elderly. IMPLIED_BASE IMPLIED_BASE",allergens,base
Sentence 12,"One of the most common environmental allergens is ragweed, which can cause hay fever and trigger asthma attacks, especially in children and the elderly. IMPLIED_BASE IMPLIED_BASE",ragweed,base
Sentence 12,"One of the most common environmental allergens is ragweed, which can cause hay fever and trigger asthma attacks, especially in children and the elderly. IMPLIED_BASE IMPLIED_BASE",can,O
Sentence 12,"One of the most common environmental allergens is ragweed, which can cause hay fever and trigger asthma attacks, especially in children and the elderly. IMPLIED_BASE IMPLIED_BASE",cause,O
Sentence 12,"One of the most common environmental allergens is ragweed, which can cause hay fever and trigger asthma attacks, especially in children and the elderly. IMPLIED_BASE IMPLIED_BASE",hay fever,base
Sentence 12,"One of the most common environmental allergens is ragweed, which can cause hay fever and trigger asthma attacks, especially in children and the elderly. IMPLIED_BASE IMPLIED_BASE",trigger,O
Sentence 12,"One of the most common environmental allergens is ragweed, which can cause hay fever and trigger asthma attacks, especially in children and the elderly. IMPLIED_BASE IMPLIED_BASE",asthma,base
Sentence 12,"One of the most common environmental allergens is ragweed, which can cause hay fever and trigger asthma attacks, especially in children and the elderly. IMPLIED_BASE IMPLIED_BASE",attacks,O
Sentence 12,"One of the most common environmental allergens is ragweed, which can cause hay fever and trigger asthma attacks, especially in children and the elderly. IMPLIED_BASE IMPLIED_BASE",especially in children and the elderly,O
Sentence 13,"In the countries of origin, the warming of the soil to high temperatures is very common, which endangers the coffee crop. IMPLIED_BASE IMPLIED_BASE",warming,O
Sentence 13,"In the countries of origin, the warming of the soil to high temperatures is very common, which endangers the coffee crop. IMPLIED_BASE IMPLIED_BASE",soil,base
Sentence 13,"In the countries of origin, the warming of the soil to high temperatures is very common, which endangers the coffee crop. IMPLIED_BASE IMPLIED_BASE",to high temperatures is very common,O
Sentence 13,"In the countries of origin, the warming of the soil to high temperatures is very common, which endangers the coffee crop. IMPLIED_BASE IMPLIED_BASE",coffee,O
Sentence 13,"In the countries of origin, the warming of the soil to high temperatures is very common, which endangers the coffee crop. IMPLIED_BASE IMPLIED_BASE",crop,base
Sentence 13,,crop,O
Sentence 13,"In the countries of origin, the warming of the soil to high temperatures is very common, which endangers the coffee crop. IMPLIED_BASE IMPLIED_BASE",endangers,O
Sentence 14,More explosive and rapidly spreading fires leave communities with little notice or chance to evacuate. IMPLIED_BASE IMPLIED_BASE,More explosive,O
Sentence 14,More explosive and rapidly spreading fires leave communities with little notice or chance to evacuate. IMPLIED_BASE IMPLIED_BASE,rapidly spreading,O
Sentence 14,More explosive and rapidly spreading fires leave communities with little notice or chance to evacuate. IMPLIED_BASE IMPLIED_BASE,fires,base
Sentence 14,More explosive and rapidly spreading fires leave communities with little notice or chance to evacuate. IMPLIED_BASE IMPLIED_BASE,leave,O
Sentence 14,More explosive and rapidly spreading fires leave communities with little notice or chance to evacuate. IMPLIED_BASE IMPLIED_BASE,communities,base
Sentence 14,More explosive and rapidly spreading fires leave communities with little notice or chance to evacuate. IMPLIED_BASE IMPLIED_BASE,little,O
Sentence 14,More explosive and rapidly spreading fires leave communities with little notice or chance to evacuate. IMPLIED_BASE IMPLIED_BASE,notice or chance to evacuate,O
Sentence 15,"Very wet winters, like the one that just passed, followed by dry summers have historically been particularly bad when it comes to the growth of cocci spores, said Lauer. IMPLIED_BASE IMPLIED_BASE",Very wet,O
Sentence 15,"Very wet winters, like the one that just passed, followed by dry summers have historically been particularly bad when it comes to the growth of cocci spores, said Lauer. IMPLIED_BASE IMPLIED_BASE",winters,base
Sentence 15,"Very wet winters, like the one that just passed, followed by dry summers have historically been particularly bad when it comes to the growth of cocci spores, said Lauer. IMPLIED_BASE IMPLIED_BASE",followed by,O
Sentence 15,"Very wet winters, like the one that just passed, followed by dry summers have historically been particularly bad when it comes to the growth of cocci spores, said Lauer. IMPLIED_BASE IMPLIED_BASE",dry,O
Sentence 15,"Very wet winters, like the one that just passed, followed by dry summers have historically been particularly bad when it comes to the growth of cocci spores, said Lauer. IMPLIED_BASE IMPLIED_BASE",summers,base
Sentence 15,"Very wet winters, like the one that just passed, followed by dry summers have historically been particularly bad when it comes to the growth of cocci spores, said Lauer. IMPLIED_BASE IMPLIED_BASE",have historically been,O
Sentence 15,"Very wet winters, like the one that just passed, followed by dry summers have historically been particularly bad when it comes to the growth of cocci spores, said Lauer. IMPLIED_BASE IMPLIED_BASE",particularly,O
Sentence 15,"Very wet winters, like the one that just passed, followed by dry summers have historically been particularly bad when it comes to the growth of cocci spores, said Lauer. IMPLIED_BASE IMPLIED_BASE",bad,O
Sentence 15,"Very wet winters, like the one that just passed, followed by dry summers have historically been particularly bad when it comes to the growth of cocci spores, said Lauer. IMPLIED_BASE IMPLIED_BASE",growth,O
Sentence 15,"Very wet winters, like the one that just passed, followed by dry summers have historically been particularly bad when it comes to the growth of cocci spores, said Lauer. IMPLIED_BASE IMPLIED_BASE",cocci,O
Sentence 15,"Very wet winters, like the one that just passed, followed by dry summers have historically been particularly bad when it comes to the growth of cocci spores, said Lauer. IMPLIED_BASE IMPLIED_BASE",spores,base
Sentence 16,"Future sea level rise (SLR) poses serious threats to the viability of coastal communities, but continues to be challenging to project using deterministic modeling approaches. IMPLIED_BASE IMPLIED_BASE",Future,O
Sentence 16,"Future sea level rise (SLR) poses serious threats to the viability of coastal communities, but continues to be challenging to project using deterministic modeling approaches. IMPLIED_BASE IMPLIED_BASE",sea,base
Sentence 16,"Future sea level rise (SLR) poses serious threats to the viability of coastal communities, but continues to be challenging to project using deterministic modeling approaches. IMPLIED_BASE IMPLIED_BASE",level,O
Sentence 16,"Future sea level rise (SLR) poses serious threats to the viability of coastal communities, but continues to be challenging to project using deterministic modeling approaches. IMPLIED_BASE IMPLIED_BASE",rise,O
Sentence 16,"Future sea level rise (SLR) poses serious threats to the viability of coastal communities, but continues to be challenging to project using deterministic modeling approaches. IMPLIED_BASE IMPLIED_BASE",poses,O
Sentence 16,"Future sea level rise (SLR) poses serious threats to the viability of coastal communities, but continues to be challenging to project using deterministic modeling approaches. IMPLIED_BASE IMPLIED_BASE",serious,O
Sentence 16,"Future sea level rise (SLR) poses serious threats to the viability of coastal communities, but continues to be challenging to project using deterministic modeling approaches. IMPLIED_BASE IMPLIED_BASE",threats,O
Sentence 16,"Future sea level rise (SLR) poses serious threats to the viability of coastal communities, but continues to be challenging to project using deterministic modeling approaches. IMPLIED_BASE IMPLIED_BASE",viability,O
Sentence 16,"Future sea level rise (SLR) poses serious threats to the viability of coastal communities, but continues to be challenging to project using deterministic modeling approaches. IMPLIED_BASE IMPLIED_BASE",coastal,O
Sentence 16,"Future sea level rise (SLR) poses serious threats to the viability of coastal communities, but continues to be challenging to project using deterministic modeling approaches. IMPLIED_BASE IMPLIED_BASE",communities,base
Sentence 17,"We find strong historical linkages between civil war and temperature in Africa, with warmer years leading to significant increases in the likelihood of war. IMPLIED_BASE IMPLIED_BASE",strong,O
Sentence 17,"We find strong historical linkages between civil war and temperature in Africa, with warmer years leading to significant increases in the likelihood of war. IMPLIED_BASE IMPLIED_BASE",historical,O
Sentence 17,"We find strong historical linkages between civil war and temperature in Africa, with warmer years leading to significant increases in the likelihood of war. IMPLIED_BASE IMPLIED_BASE",civil,O
Sentence 17,"We find strong historical linkages between civil war and temperature in Africa, with warmer years leading to significant increases in the likelihood of war. IMPLIED_BASE IMPLIED_BASE",war,base
Sentence 17,"We find strong historical linkages between civil war and temperature in Africa, with warmer years leading to significant increases in the likelihood of war. IMPLIED_BASE IMPLIED_BASE",temperature,O
Sentence 17,"We find strong historical linkages between civil war and temperature in Africa, with warmer years leading to significant increases in the likelihood of war. IMPLIED_BASE IMPLIED_BASE",in Africa,O
Sentence 17,"We find strong historical linkages between civil war and temperature in Africa, with warmer years leading to significant increases in the likelihood of war. IMPLIED_BASE IMPLIED_BASE",warmer,O
Sentence 17,"We find strong historical linkages between civil war and temperature in Africa, with warmer years leading to significant increases in the likelihood of war. IMPLIED_BASE IMPLIED_BASE",leading to,O
Sentence 17,"We find strong historical linkages between civil war and temperature in Africa, with warmer years leading to significant increases in the likelihood of war. IMPLIED_BASE IMPLIED_BASE",significant,O
Sentence 17,"We find strong historical linkages between civil war and temperature in Africa, with warmer years leading to significant increases in the likelihood of war. IMPLIED_BASE IMPLIED_BASE",increases,O
Sentence 17,"We find strong historical linkages between civil war and temperature in Africa, with warmer years leading to significant increases in the likelihood of war. IMPLIED_BASE IMPLIED_BASE",likelihood,O
Sentence 17,"We find strong historical linkages between civil war and temperature in Africa, with warmer years leading to significant increases in the likelihood of war. IMPLIED_BASE IMPLIED_BASE",war,base
